year,1435.0,1436.0,1437.0,1440.0,1441.0,1442.0,1443.0,1449.0,1451.0,1452.0,1455.0,1458.0,1464.0,1465.0,1470.0,1471.0,1474.0,1478.0,1479.0,1480.0,1492.0,1493.0,1496.0,1545.0,1546.0,1548.0,1549.0,1551.0,1552.0,1554.0,1555.0,1558.0,1559.0,1569.0,1581.0,1586.0,1588.0,1634.0,1635.0,1636.0,1637.0,1638.0,1639.0,1642.0,1643.0,1644.0,1645.0,1646.0,1648.0,1651.0,1654.0,1665.0,1666.0,1673.0,1687.0,1688.0,1690.0,1696.0,1698.0,1699.0,1700.0,1701.0,1702.0,1703.0,1705.0,1706.0,1707.0,1708.0,1763.0,1764.0,1765.0,1768.0,1769.0,1770.0,1771.0,1773.0,1775.0,1777.0,1782.0,1783.0,1784.0,1786.0,1788.0,1794.0,1798.0,1799.0,1800.0,1802.0,1803.0,1804.0,1805.0,1806.0,1807.0,1808.0,1814.0,1815.0,1826.0,1827.0,1828.0,1829.0,1830.0,2005.0,2006.0,2007.0,2009.0,2010.0,2011.0,2013.0,2014.0,2017.0,2029.0,2036.0,2042.0,2043.0,2278.0,2285.0,2289.0,2290.0,2291.0,2292.0,2294.0,2295.0,2297.0,2298.0,2299.0,2300.0,2304.0,2305.0,2306.0,2307.0,2322.0,2326.0,2334.0,2336.0,2686.0,2687.0,2692.0,2694.0,2695.0,2696.0,3557.0,3559.0,3560.0,3561.0,3562.0,3567.0
1989,,,,,,,,,,,,,,,11.0,6.0,,,,6.0,,,6.0,,,,,,,,,,,,,288.0,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,363.0,,,,,,,6.0,,,,,,,,1.0,,,,6.0,320.0,1.0,1.0,,10.0,,6.0,,,,6.0,,,,,,,,,2.0,,,,,1.0,277.0,,,,,,,,,,,,,,2.0,,4.0,,,,110.0,,1.0,,,,,,,,,,6.0,,,,,6.0
1990,,,,,,,,,,,,,,,6.0,6.0,,,,6.0,,,6.0,,,,,,,,,,,,,346.0,353.0,,,,,,,,,,,,,,,,,,,,,,,,,,,338.0,,,,,,,6.0,,,,,,,,1.0,,,,5.0,365.0,1.0,1.0,,11.0,,6.0,,,,6.0,,,,,,,,,1.0,,,,,1.0,273.0,,,,,,,,,,,,,,2.0,,65.0,,,,8.0,,1.0,,,,,,,1.0,,,6.0,,,,,6.0
1991,,,,,,,,,,,,,,,5.0,3.0,,2.0,,5.0,,2.0,5.0,,,,,,,,,,,,,347.0,364.0,20.0,,15.0,18.0,,,41.0,19.0,36.0,12.0,,,,,,,,,,,,,,,,,365.0,,,,,,,5.0,,,,,,,,1.0,,,,3.0,365.0,1.0,1.0,,6.0,,5.0,,,,5.0,,2.0,,,,,,,1.0,,,,,1.0,279.0,,,,,,,,,,,,,,4.0,,7.0,,,1.0,5.0,,2.0,,,,1.0,1.0,,3.0,,,5.0,,,,,5.0
1992,,,,,,,,,,,,,,,,5.0,,5.0,,5.0,,5.0,5.0,,,,,,,,,,,,,300.0,360.0,78.0,,31.0,70.0,,,90.0,33.0,80.0,33.0,,,,1.0,,,,,,,,,,,,,327.0,,,,,,,5.0,,,,,,,,1.0,,,,,247.0,1.0,1.0,,,,5.0,,,,5.0,,5.0,,,,,,,2.0,,,,,1.0,234.0,,,,,,,,,,,,,,2.0,,5.0,,,,3.0,,1.0,,,,,,,,,,5.0,,,,,5.0
1993,,,,,,,,,,,,,,,,5.0,,5.0,,4.0,,5.0,5.0,,,,,,,,,,,,,284.0,338.0,86.0,,41.0,54.0,,,89.0,17.0,94.0,50.0,,,,4.0,,,,,,,,,,,,,346.0,,,,,,,5.0,,,,,,,,1.0,,,,,10.0,1.0,1.0,,,,5.0,,,,5.0,,5.0,,,,,,,2.0,,,,,1.0,259.0,,,,,,,,,,,,,,2.0,,14.0,,,,11.0,,1.0,,,,,,,,,,5.0,,,,,5.0
1994,,,,,,,,,,,,,,,,5.0,,5.0,,4.0,,5.0,5.0,,,,,,,,,,,,,92.0,351.0,65.0,,12.0,30.0,,,65.0,,30.0,13.0,,,,1.0,,,,,,,,,,,,,346.0,,,,,,,4.0,,,,,,,,1.0,,,,,6.0,1.0,1.0,,,,5.0,,,,5.0,,5.0,,,,,,,1.0,,,,,1.0,245.0,,,,,,,,,,,,,,3.0,,8.0,,,2.0,8.0,,1.0,,,,,,,,,,5.0,,,,,5.0
1995,,,,,,,,,,,,,,,,5.0,,5.0,,5.0,,5.0,5.0,,,,,,,,,,,,,217.0,361.0,43.0,,,11.0,,,66.0,,5.0,1.0,,,,4.0,,,,,,,,,,,,,345.0,,,,,,,5.0,,,,,,,,1.0,,,,,6.0,4.0,2.0,,,,4.0,,,,5.0,,5.0,,,,,,,2.0,,,,,345.0,192.0,,,,,,,,,,,,,,7.0,,8.0,,,1.0,7.0,,1.0,,,,,,,,,,5.0,,,,,5.0
1996,,,,,,,,,,,,,,,,5.0,,5.0,,5.0,,4.0,5.0,,,,,,,,,,,,,254.0,334.0,47.0,,,13.0,,,76.0,,5.0,,,,,1.0,,,,,,,,,,,,,334.0,,,,,,,5.0,,,,,,,,1.0,,,,,1.0,1.0,3.0,,,,5.0,,,,5.0,,5.0,,,,,,,,147.0,,,,308.0,239.0,,,,,,,,,,,,,,1.0,,7.0,,,,4.0,,,,,,,,,,,,5.0,,,,,5.0
1997,,,,,,,,,,,,,,,,4.0,,6.0,1.0,5.0,,1.0,4.0,,,,,,,,,,,,,287.0,361.0,51.0,,,13.0,1.0,1.0,77.0,,51.0,39.0,1.0,,1.0,6.0,,,,,,,,,,,,,352.0,,,,24.0,,,4.0,18.0,,,,,1.0,20.0,,,,,,1.0,,,,,1.0,4.0,,,,5.0,,5.0,2.0,,,,,,,331.0,,,,364.0,262.0,,,,,,,2.0,,12.0,,,,,3.0,,5.0,,,,4.0,,15.0,,,,,,,,,,5.0,,,,1.0,6.0
1998,,,,,,,,,,,,,,,,,,,,4.0,,4.0,1.0,,,,,,,,,,,,,342.0,356.0,39.0,,,24.0,,,75.0,,41.0,67.0,,,3.0,4.0,,,,,,,4.0,,2.0,,,1.0,357.0,,2.0,,3.0,1.0,4.0,,2.0,,,3.0,,,19.0,,,,,4.0,4.0,1.0,1.0,3.0,4.0,1.0,3.0,,,,69.0,,68.0,,,,,,1.0,3.0,307.0,4.0,7.0,2.0,354.0,262.0,1.0,,3.0,,,,7.0,,9.0,,,,,59.0,,28.0,,,,2.0,2.0,,,,,,,5.0,,,,4.0,,,1.0,3.0,4.0
